1.170281554051060269e+00 -3.936660345570752728e-01 9.850565300459264151e-01
-1.250099083494677910e-01 5.626063358549269200e-01 4.381080933709516900e-01
-1.394848594641900641e-01 -1.159946552182649082e-01 8.996964131534745945e-01
7.695225764335619223e-01 2.629986922527356441e-01 1.853896281277249980e-01
1.338700000913522481e-01 5.654136369044044930e-01 1.666785867328003934e-01
-9.102950260899245194e-02 2.335245861902073283e-01 5.549302046301847202e-01
7.555539104325303956e-02 1.436951286688618046e-01 1.980102507653593025e-01
9.384873734700088788e-01 5.376967025056881289e-01 1.191910250140826744e+00
-1.452693724198329817e-01 8.370912437933033523e-01 1.474374871774905227e+00
5.651258822711793250e-01 9.441817638606374574e-01 7.149804989376021824e-01
8.366028151223110498e-01 5.381455282262284090e-01 1.141044699662976836e+00
5.190269935689759140e-02 1.440888554971827329e+00 7.561992312420084961e-01
1.103324756963090181e+00 9.047637781156726566e-01 5.885780082346714348e-01
6.966379619435052462e-01 4.136324121280818833e-01 3.904864393901383290e-01
1.269888837974208151e+00 6.248518124858009060e-01 -4.920018762815560054e-01
8.600483272547565505e-02 2.706026073099708773e-01 1.122119774141713267e+00
-3.669368815613537338e-01 4.038634001055158018e-01 7.686564094884809073e-01
3.401235190528411056e-01 2.454517852890862606e-01 6.657768113507747110e-01
1.113340226561729818e+00 7.359964761295898494e-01 2.206032716783965231e-01
6.428345062531186649e-01 6.449701887209270401e-01 1.249488058388962486e+00
