5.986478293241903614e-01 5.306348080890079810e-01 3.581624417901453361e-01 4.515643817626089351e-01
5.000000000000000000e-01 5.000000000000000000e-01 4.999999999999999445e-01 5.000000000000000000e-01
5.164393809599537866e-01 5.201553543987011974e-01 4.717076743142201711e-01 4.656395801730333628e-01
6.095882000335497430e-01 5.871463031404582367e-01 3.403749009888363819e-01 3.717049192004159841e-01
5.930083645860558805e-01 5.685502868474022753e-01 3.729418195069848507e-01 3.966848118894430453e-01
5.535519799125063756e-01 5.890628389910137486e-01 4.087659381542746995e-01 3.775624968012405436e-01
5.400116354151995868e-01 5.000000000000000000e-01 4.342600383129684993e-01 5.000000000000000000e-01
5.235256060859327931e-01 5.930838611875255406e-01 4.585248226896687096e-01 3.685072556080360440e-01
5.690906798908631492e-01 6.358745872931359511e-01 3.922792280750752592e-01 3.316173755042990390e-01
5.277993190919570976e-01 5.102740006687138674e-01 4.507467147903256310e-01 4.821423152965901293e-01
5.412591384591337595e-01 6.426536539327699638e-01 4.326972767380483087e-01 3.182622447871673033e-01
5.741599784947135632e-01 6.462145075224308144e-01 3.837298123062086730e-01 3.130190329781037395e-01
5.239020715921969273e-01 5.000000000000000000e-01 4.590231919666348803e-01 5.000000000000000000e-01
6.186598114464092468e-01 5.476614243583872721e-01 3.705906286162646279e-01 4.179580460268359499e-01
6.269552798471182964e-01 6.240138763346994022e-01 3.223171063763732858e-01 3.205691865934567342e-01
5.283846538572417595e-01 5.000000000000000000e-01 4.533548350187771581e-01 5.000000000000000000e-01
5.346802022432577406e-01 5.140678204645148242e-01 4.431588050146663127e-01 4.769141492286297912e-01
5.365847455379504360e-01 5.770037131761515115e-01 4.301214576501066755e-01 3.712502260296067780e-01
5.662651322839269419e-01 6.369801695819703458e-01 4.035718836278947563e-01 3.335116015326834438e-01
5.096094722607317218e-01 5.000000000000000000e-01 4.828711061821896466e-01 5.000000000000000000e-01
