5.514589979406847586e-01 5.137979966324710546e-01 4.170103120570152200e-01 4.772140953914777994e-01 6.475790268170081854e-01 2.301450789005940190e-01
4.840716482417919964e-01 5.000000000000000000e-01 5.285198498930474553e-01 5.000000000000000000e-01 1.987075292891127276e-01 5.000000000000000000e-01
4.850646055472424001e-01 4.862759408452915766e-01 5.280614683066019444e-01 5.257093848606261277e-01 2.739830581869782677e-01 5.000000000000000000e-01
5.625722191597123389e-01 5.456374268079001721e-01 3.977407957515872172e-01 4.255619736664484343e-01 3.797224353483787396e-01 5.000000000000000000e-01
5.930083645860558805e-01 5.400691020475183457e-01 3.729418195069848507e-01 4.351663900260825946e-01 3.787647012186119433e-01 5.000000000000000000e-01
5.103156914256854471e-01 5.676493494759993208e-01 4.801855556307343953e-01 4.022936551955987872e-01 1.987075292891127276e-01 5.000000000000000000e-01
5.000000000000000000e-01 5.000000000000000000e-01 5.000000000000000000e-01 5.000000000000000000e-01 2.739830581869782677e-01 5.000000000000000000e-01
4.901193128149171074e-01 5.636862509595906845e-01 5.191531356678125153e-01 4.035599170262098023e-01 3.676078504254306489e-01 1.987075292891127831e-01
5.427805629707029844e-01 6.521687303318470796e-01 4.286788519931903907e-01 3.175903759027195461e-01 1.987075292891127276e-01 5.000000000000000000e-01
4.742136574379423597e-01 4.765917482366111568e-01 5.534057127083099603e-01 5.447581573912035902e-01 3.797224353483787396e-01 5.000000000000000000e-01
5.261167435516099777e-01 6.149916626638519679e-01 4.556726163005348496e-01 3.444881012434157785e-01 1.987075292891127276e-01 5.000000000000000000e-01
5.393754966526076444e-01 6.247654321223994334e-01 4.324815196056683853e-01 3.329166479604140361e-01 1.987075292891127276e-01 5.000000000000000000e-01
5.000000000000000000e-01 5.000000000000000000e-01 5.000000000000000000e-01 5.000000000000000000e-01 1.987075292891127276e-01 5.000000000000000000e-01
6.528439791713817053e-01 5.160094345192243193e-01 3.435913069315768009e-01 4.699226462482523625e-01 3.676078504254306489e-01 1.987075292891127831e-01
5.759419649567454336e-01 5.547786985325804388e-01 3.800197262942587861e-01 4.058719613710473628e-01 3.797224353483787396e-01 5.000000000000000000e-01
5.001239575368938706e-01 4.840716482417919964e-01 4.997802219694647552e-01 5.285198498930474553e-01 1.987075292891127276e-01 5.000000000000000000e-01
5.000000000000000000e-01 5.000000000000000000e-01 5.000000000000000000e-01 5.000000000000000000e-01 5.000000000000000000e-01 5.000000000000000000e-01
4.626956282052560598e-01 4.999341408965758404e-01 5.898719260930539443e-01 5.001369187591944154e-01 1.987075292891127276e-01 5.000000000000000000e-01
5.695988739597918071e-01 6.677393683418195724e-01 3.995141531443062166e-01 3.082187975157229531e-01 1.987075292891127276e-01 5.000000000000000000e-01
4.842835989808361163e-01 5.000000000000000000e-01 5.301125960255760328e-01 5.000000000000000000e-01 3.676078504254306489e-01 1.987075292891127831e-01
