4.942434029334471512e-01 5.669423697724369493e-01 5.110507095334069216e-01 4.031636963816265240e-01 5.000000000000000000e-01
4.737318637883216055e-01 5.338939094052780332e-01 5.506736819557656037e-01 4.468574243232962262e-01 1.987075292891127831e-01
5.914672728122813972e-01 5.783487225192399661e-01 3.765697310419847121e-01 3.897243272696428451e-01 1.987075292891127831e-01
5.408071434231325192e-01 5.000000000000000000e-01 4.379655696815357158e-01 5.000000000000000000e-01 1.987075292891127831e-01
6.283566772496033126e-01 6.077253308564950496e-01 3.333625068712374184e-01 3.501241824171340555e-01 1.987075292891127831e-01
5.640569517544874456e-01 5.802705989377296980e-01 4.007425836237128447e-01 3.839342339341177968e-01 1.987075292891127831e-01
5.392698034853316003e-01 6.511158579630483834e-01 4.313613910515801120e-01 3.188322247458608705e-01 5.000000000000000000e-01
5.337834573976008024e-01 5.000000000000000000e-01 4.507888866849332210e-01 5.000000000000000000e-01 5.000000000000000000e-01
6.322407906709115455e-01 5.803953719640192466e-01 3.346466070714264052e-01 3.869894710064112342e-01 1.987075292891127831e-01
5.214453855039161700e-01 5.999888169269341764e-01 4.608977345765017386e-01 3.548868104869136730e-01 5.000000000000000000e-01
6.511819164030496765e-01 5.857623439871589843e-01 2.938600859951587263e-01 3.588386398447361847e-01 1.987075292891127831e-01
5.065493748090731385e-01 6.117818652524407153e-01 4.865766763453317489e-01 3.541782327438954270e-01 5.000000000000000000e-01
6.246443945306534573e-01 5.728626079054314202e-01 3.330615496389920938e-01 3.861746490603482629e-01 5.000000000000000000e-01
4.700664861074052014e-01 4.840859147737999746e-01 5.618529333857599228e-01 5.305320417885409645e-01 1.987075292891127831e-01
5.280262978955830855e-01 6.225185812268941854e-01 4.549347396114737929e-01 3.437157417832762962e-01 5.000000000000000000e-01
5.214612457343559271e-01 4.924108792216267405e-01 4.637525050268980209e-01 5.140344761267597873e-01 5.000000000000000000e-01
5.000000000000000000e-01 5.000000000000000000e-01 5.000000000000000000e-01 5.000000000000000000e-01 5.000000000000000000e-01
